commodity,date,sentiment_positive_mean,sentiment_neutral_mean,sentiment_negative_mean,article_count,dominant_sentiment,sentiment_dispersion
Onion,2013-07-03,0.2628407478332519,0.6986299157142639,0.0385293364524841,1,neutral,0.0
Onion,2013-07-05,0.0195225812494754,0.0595843642950058,0.920893132686615,1,negative,0.0
Onion,2013-07-10,0.0165161993354558,0.0329950302839279,0.9504887461662292,1,negative,0.0
Onion,2013-07-14,0.024278674274683,0.3736145794391632,0.6021067500114441,1,negative,0.0
Onion,2013-07-15,0.0256514064967632,0.0356831476092338,0.9386654496192932,1,negative,0.0
Onion,2013-07-17,0.0437901876866817,0.0651151612401008,0.8910946249961853,1,negative,0.0
Onion,2013-07-18,0.0440898537635803,0.612353503704071,0.343556672334671,1,neutral,0.0
Onion,2013-07-19,0.28740904014557594,0.27947569638490677,0.433115255087614,2,negative,0.26863017398864036
Onion,2013-07-23,0.2251504212617874,0.7480558156967163,0.026793772354722,1,neutral,0.0
Onion,2013-07-24,0.3080125202735265,0.41431859880685806,0.27766890948017436,3,neutral,0.14547703165145762
Onion,2013-07-27,0.19280409999191758,0.18682177364826194,0.6203740984201431,2,negative,0.16995718888938427
Onion,2013-08-06,0.0250965654850006,0.1440125256776809,0.8308908939361572,1,negative,0.0
Onion,2013-08-07,0.0781749794259667,0.4189409539103508,0.5028841160237789,2,negative,0.0601120432838798
Onion,2013-08-08,0.11276996321976185,0.20173946768045425,0.6854905486106873,2,negative,0.06812761537730694
Onion,2013-08-09,0.0219487771391868,0.1452199518680572,0.8328312635421753,1,negative,0.0
Onion,2013-08-11,0.30274034850299353,0.30068526665369666,0.39657440409064293,3,neutral,0.3692150166840048
Onion,2013-08-12,0.1395703107118606,0.8179831504821777,0.0424465015530586,1,neutral,0.0
Onion,2013-08-13,0.05398463447474765,0.2883849791768524,0.6576303624444537,9,negative,0.07319076689523331
Onion,2013-08-14,0.09730901196599002,0.41774505004286766,0.4849459477700293,8,negative,0.06191637746077978
Onion,2013-08-15,0.2890821419035395,0.5086404929558436,0.20227733735616005,6,neutral,0.3109715502855665
Onion,2013-08-16,0.0999694988131523,0.1745792925357818,0.7254512310028076,1,negative,0.0
Onion,2013-08-17,0.09127876814454793,0.26173602603375906,0.646985218860209,4,negative,0.07294168914779357
Onion,2013-08-18,0.0153485564514994,0.0167860239744186,0.9678653478622437,1,negative,0.0
Onion,2013-08-19,0.21005222201347346,0.7165384590625763,0.07340935245156285,2,neutral,0.0008476227521896501
Onion,2013-08-20,0.1009846169294582,0.3068213048908445,0.5921941051880518,9,negative,0.15070575705584352
Onion,2013-08-21,0.044988889247179,0.7235384583473206,0.2314726151525974,2,neutral,0.0079181008040905
Onion,2013-08-22,0.12905320823192595,0.6236443229019641,0.2473024614155292,5,neutral,0.11556390059431139
Onion,2013-08-23,0.06489984467625613,0.4229378305375576,0.512162322178483,5,negative,0.0601607423668775
Onion,2013-08-24,0.1022900119423866,0.8564817905426025,0.0412281677126884,1,neutral,0.0
Onion,2013-08-25,0.06250782869756215,0.2934960275888443,0.6439961194992065,2,negative,0.0034360755234956464
Onion,2013-08-26,0.15183889493346214,0.5628070384263992,0.2853540983051061,2,negative,0.10251355543732645
Onion,2013-08-28,0.0828444423774878,0.6276507824659348,0.28950476646423334,3,neutral,0.027901521055452617
Onion,2013-08-29,0.0161363389343023,0.2186659276485443,0.76519775390625,1,negative,0.0
Onion,2013-08-30,0.042769412510097,0.907209038734436,0.050021512433886445,2,neutral,0.013715454377234001
Onion,2013-09-01,0.045429777354002,0.2165817618370056,0.7379884123802185,1,negative,0.0
Onion,2013-09-03,0.0147980982437729,0.0420907959342002,0.9431111812591552,1,negative,0.0
Onion,2013-09-06,0.0652764290571212,0.906134068965912,0.0285894609987735,1,neutral,0.0
Onion,2013-09-08,0.6171635091304779,0.34270666539669037,0.040129811037331806,2,positive,0.027563482522964478
Onion,2013-09-11,0.0294309146702289,0.9323678612709044,0.0382012501358985,1,neutral,0.0
Onion,2013-09-12,0.0306020807474851,0.0360654890537261,0.9333325028419496,1,negative,0.0
Onion,2013-09-14,0.9260251522064208,0.0518286451697349,0.0221461150795221,1,positive,0.0
Onion,2013-09-17,0.0516131436452269,0.4887008033692836,0.459686066955328,2,negative,0.028816127218306103
Onion,2013-09-18,0.31278590261936184,0.24705527201294894,0.4401588201522827,5,positive,0.35771269170442344
Onion,2013-09-19,0.1344544291496276,0.8415409326553345,0.0240045990794897,1,neutral,0.0
Onion,2013-09-20,0.16508939381067947,0.11566946686555936,0.7192411320284009,6,negative,0.29585418303172945
Onion,2013-09-21,0.060602768324315485,0.5377706534096173,0.40162657919738975,7,neutral,0.07036166664543946
Onion,2013-09-22,0.25659666582942003,0.4632043739159902,0.28019893604020274,3,positive,0.2523152500897774
Onion,2013-09-23,0.3126553669571876,0.5008498430252075,0.18649477884173388,2,positive,0.28594299405813217
Onion,2013-09-24,0.053358469158411,0.5438812375068665,0.4027602672576904,1,neutral,0.0
Onion,2013-09-25,0.0389513112604618,0.1056446433067321,0.8554040789604187,1,negative,0.0
Onion,2013-09-27,0.9512709975242616,0.0314151160418987,0.0173139199614524,1,positive,0.0
Onion,2013-09-28,0.0100101018324494,0.0294608995318412,0.960529088973999,1,negative,0.0
Onion,2013-09-29,0.3314943388104439,0.11379888281226155,0.5547068119049072,2,negative,0.26710402220487595
Onion,2013-10-01,0.0547574795782566,0.3868200704455375,0.5584225058555603,2,negative,0.0076807253062725
Onion,2013-10-02,0.0243740212172269,0.0481322444975376,0.9274937510490416,1,negative,0.0
Onion,2013-10-04,0.0461090914905071,0.0582862757146358,0.8956046104431152,1,negative,0.0
Onion,2013-10-05,0.7569977045059204,0.2336304187774658,0.0093718897551298,1,positive,0.0
Onion,2013-10-09,0.0275082513689994,0.0394753292202949,0.9330164194107056,1,negative,0.0
Onion,2013-10-10,0.4052627757191658,0.1785820629447698,0.41615515202283854,2,negative,0.22843735665082932
Onion,2013-10-11,0.0613134391605854,0.070074439048767,0.8686120510101318,1,negative,0.0
Onion,2013-10-15,0.13213431835174558,0.2580569926649332,0.6098086908459663,4,negative,0.05134821848041578
Onion,2013-10-16,0.06330190536876516,0.5645737797021866,0.37212430809934927,3,neutral,0.03609560182049327
Onion,2013-10-18,0.2691270112991333,0.1179758086800575,0.6128971576690674,1,negative,0.0
Onion,2013-10-19,0.9019956390062968,0.0767448892196019,0.021259417757391902,3,positive,0.03398286346483877
Onion,2013-10-21,0.0494709834456443,0.1530187129974365,0.7975102663040161,1,negative,0.0
Onion,2013-10-22,0.18370528332889074,0.326229318510741,0.49006538465619087,4,negative,0.1666650804726225
Onion,2013-10-23,0.11347433498927526,0.30692857610327856,0.5795970995511327,7,negative,0.11247905896674697
Onion,2013-10-24,0.1669931023913834,0.3815261698993189,0.4514807374881847,14,neutral,0.22749486951642953
Onion,2013-10-25,0.10742796512527593,0.6355223448740112,0.25704969113899595,9,neutral,0.08150232300082223
Onion,2013-10-26,0.048185264691710424,0.7798004150390625,0.1720143277198076,4,neutral,0.008684190517130484
Onion,2013-10-27,0.18519571237266064,0.48195144832134246,0.3328528441488742,5,neutral,0.14472133754937985
Onion,2013-10-28,0.0682711452245712,0.8064089417457581,0.1253199130296707,1,neutral,0.0
Onion,2013-10-29,0.0105690415948629,0.0454164184629917,0.9440144896507264,1,negative,0.0
Onion,2013-10-30,0.0509616360068321,0.1266824156045913,0.8223559260368347,1,negative,0.0
Onion,2013-11-01,0.06719146529212593,0.34779324755072594,0.5850152680650353,4,negative,0.025664753233363598
Onion,2013-11-02,0.03861517319455738,0.3347702535490195,0.6266145426779985,6,negative,0.03478028612788822
Onion,2013-11-03,0.426036387681961,0.2988684773445129,0.275095134973526,1,positive,0.0
Onion,2013-11-04,0.0199241898953914,0.1321851909160614,0.8478905558586121,1,negative,0.0
Onion,2013-11-06,0.8675209879875183,0.1058431565761566,0.0266358219087123,1,positive,0.0
Onion,2013-11-08,0.0767171382904052,0.8796645402908325,0.0436182804405689,1,neutral,0.0
Onion,2013-11-09,0.01913870871067045,0.02548857871443025,0.9553727805614471,2,negative,0.00907600298523905
Onion,2013-11-10,0.22108796657994387,0.28479552175849676,0.49411646556109184,2,neutral,0.20593428192660215
Onion,2013-11-12,0.0082232588902115,0.0266917664557695,0.9650850296020508,1,negative,0.0
Onion,2013-11-13,0.0997848361730575,0.8785886168479919,0.0216265358030796,1,neutral,0.0
Onion,2013-11-14,0.039828635752201,0.0537687093019485,0.906402587890625,1,negative,0.0
Onion,2013-11-15,0.0126775167882442,0.0965654700994491,0.8907570242881775,1,negative,0.0
Onion,2013-11-21,0.0446012774482369,0.13021733425557608,0.8251813650131226,2,negative,0.025672211311757603
Onion,2013-11-23,0.054800731440385136,0.5840264999618133,0.3611727940539518,3,neutral,0.03619762374477453
