publish_date,headline_category,headline_text,commodity
2013-09-01,city.kanpur,District magistrates ordered to to check onion price hike,Onion
2013-09-03,city.pune,Onion prices likely to drop in two weeks,Onion
2013-09-06,city.nagpur,Onion selling at Rs 60 per kg in retail markets,Onion
2013-09-08,city.mumbai,Onion prices to stay high till Sept end,Onion
2013-09-08,city.nashik,Govt's stand on onion's status helps hoarding,Onion
2013-09-11,city.nashik,Onion prices stay at Rs 4;300 per quintal,Onion
2013-09-12,city.nashik,Onion prices continue to rise at Lasalgaon,Onion
2013-09-14,city.nashik,Onion prices hit all-time high at Lasalgaon,Onion
2013-09-17,business.india-business,Onion prices soar to Rs 5;300 a quintal in Lasalgaon,Onion
2013-09-17,city.pune,Onion prices hover around Rs 70 per kg,Onion
2013-09-18,city.delhi,Crop shortage pulls onion to Rs 80/kg,Onion
2013-09-18,india,Onion price rise may be due to hoarding: Centre,Onion
2013-09-18,city.mumbai,Sharad Pawar's speculation leads to onion price increase yet again,Onion
2013-09-18,city.madurai,Spiralling onion prices take the fizz off in eateries,Onion
2013-09-18,city.ludhiana,Onion price story again a tearjerker,Onion
2013-09-19,business.india-business,90% of onion stocks over; hoarders could look to make a killing,Onion
2013-09-20,city.indore,Onion prices leave households teary-eyed,Onion
2013-09-20,city.ahmedabad,High prices cut onion use by 40%,Onion
2013-09-20,business.india-business,Centre's advisory to states on onion prices falling on deaf ears,Onion
2013-09-20,city.kolhapur,Delay in arrival of fresh stocks to market likely to keep onion prices high,Onion
2013-09-20,city.bhopal,Madhya Pradesh govt refuses to take blame for spiralling onion prices,Onion
2013-09-20,business.india-business,Onion price stays high despite wholesale dip,Onion
2013-09-21,city.delhi,Maharashtra to bail Delhi out of onion chaos,Onion
2013-09-21,business.india-business,Wholesale onion prices drop in Lasalgaon,Onion
2013-09-21,city.mumbai,Maharashtra denies onion hoarding by farmers; sniffs retail cartel,Onion
2013-09-21,city.mumbai,Pricier oil; eggs; milk add to common man's onion tears,Onion
2013-09-21,city.ludhiana,Expect onion back on palette in Oct,Onion
2013-09-21,city.hubballi,Angry onion growers block highway over price crash,Onion
2013-09-21,city.indore,Lack of storage encourages onion black-marketing: Minister,Onion
2013-09-22,india,Pakistani traders profit from India's onion crisis as Maharashtra blames retailers,Onion
2013-09-22,city.hyderabad,Rains to send onion prices soaring,Onion
2013-09-22,business.india-business,Competition Commission of India seeks information from state governments as onion prices soar,Onion
2013-09-23,city.jaipur,Onion price set to skyrocket; wholesalers expect dip only in November,Onion
2013-09-23,india,Do prices of onion and tomato have nothing to do with government?,Onion
2013-09-24,city.madurai,History-sheeter done to death in onion market,Onion
2013-09-25,city.pune,Onion supply up; prices set to fall,Onion
2013-09-27,city.nashik,Average onion rates up 11% at Lasalgaon,Onion
2013-09-28,business.india-business,Onion prices decline 7.69% in Lasalgaon APMC,Onion
2013-09-29,city.ahmedabad,Rains hit onion crop; hold up new arrivals,Onion
2013-09-29,city.jaipur,Onion price set to skyrocket; wholesalers expect dip only in November,Onion
2013-10-01,city.nashik,Kharif crop fails to rein in onion prices,Onion
2013-10-01,unknown,ET: Why onion prices will singe consumers again,Onion
2013-10-02,city.nashik,Onion prices decline by 12.94%,Onion
2013-10-04,city.nashik,Onion prices up by 7.5%,Onion
2013-10-05,city.nashik,Nabard starts pilot project for better onion crop; storage; sale,Onion
2013-10-09,city.nashik,Onion prices see sharp jump of 12% at Lasalgaon,Onion
2013-10-10,city.nashik,Onion prices up with decline in arrival of crop,Onion
2013-10-10,city.rajkot,Onion prices to remain high,Onion
2013-10-11,city.nashik,Onion prices dip over 4%,Onion
2013-10-15,city.mumbai,Wholesale onion prices up 19 over 1 working day,Onion
2013-10-15,india,After minor dip; onion prices on the rise again,Onion
2013-10-15,city.nashik,Onion prices soar again at Lasalgaon,Onion
2013-10-15,blogs,Pyaralal Raghavan: How the lowly onion humbled the mighty UPA,Onion
2013-10-16,city.ahmedabad,I-T searches offices of builders; onion trader,Onion
2013-10-16,city.ahmedabad,Thali cost up; onion rates bring tears to eyes,Onion
2013-10-16,city.mumbai,Onion; potato prices on an upward spiral again,Onion
2013-10-18,city.nashik,Onion price rises in Lasalgaon,Onion
2013-10-19,city.lucknow,Onion leads green surge in Lucknow; yet again,Onion
2013-10-19,city.nashik,Onion prices hit all-time high at Lasalgaon,Onion
2013-10-19,business.india-business,Onion prices hit all-time high at Lasalgaon,Onion
2013-10-21,city.bhopal,Political parties are silent over over rising onion prices,Onion
2013-10-22,city.nashik,Fresh crop in; onion prices drop at Lasalgaon,Onion
2013-10-22,city.guwahati,Onion prices continue to bring tears to people's eyes,Onion
2013-10-22,city.delhi,Delhi: Onion prices touch Rs 90 per kg; may hit Rs 100 soon,Onion
2013-10-22,business.india-business,Delhi: Onion prices touch Rs 90 per kg; may hit Rs 100 soon,Onion
2013-10-23,city.delhi,Onion prices to dip next week: CM,Onion
2013-10-23,city.jaipur,Onion prices bring tears ahead of festive season,Onion
2013-10-23,city.patna,Onion costlier than petrol; sells at Rs100/kg,Onion
2013-10-23,city.nashik,Onion mapping to enter 4th year,Onion
2013-10-23,india,Panic grips Union govt as onion price hits Rs 100 a kg,Onion
2013-10-23,city.pune,Onion prices likely to fall after Diwali,Onion
2013-10-23,city.chandigarh,Onion prices skyrocket to Rs 90 per kg,Onion
2013-10-24,india,Onion crisis to last 2-3 weeks: Pawar,Onion
2013-10-24,city.lucknow,Govt to blame for high onion prices: BJP,Onion
2013-10-24,city.lucknow,Onion consumption drops 60% in Lucknow,Onion
2013-10-24,india,Rush for onion cultivation in Kullu,Onion
2013-10-24,city.mumbai,Onion at Rs 80; Pawar says no pre-Diwali relief,Onion
2013-10-24,india,Monopoly of wholesale traders behind onion price rise; govt officials say,Onion
2013-10-24,city.delhi,Sheila Dikshit promises drop in onion price today,Onion
